,Unnamed: 0,Unnamed: 0.1,name,text
25,25,4,ヒトカゲ,尻尾の 炎は 気分を 表現。 楽しい ときには ゆらゆら 炎が ゆれて 怒った ときには めらめら 盛んに 燃える。
26,26,5,ヒトカゲ,ヒトカゲの しっぽの 炎は 命の ともしび。 元気な ときは 炎も 力強く 燃え上がる。
27,27,0,リザード,尻尾を 振り回して 相手を なぎ倒し 鋭い ツメで ズタズタに ひきさいてしまう。
28,28,1,リザード,燃える 尻尾を 振り回すと まわりの 温度が どんどん 上がって 相手を 苦しめる。
29,29,2,リザード,強敵と 戦いつづけ エキサイトすると 青白い 炎を 吐き出すことがある。
30,30,3,リザード,燃える しっぽを 振りまわし するどい ツメで 相手を 切り裂く 荒々しい 性格。
31,31,4,リザード,鋭い ツメで ようしゃなく たたきのめす。 強敵と 向かい合うと 気分が たかぶり 尻尾の 炎が 青白く 燃えあがる。
32,32,5,リザード,リザードが 暮らす 岩山を 夜中に 見上げると しっぽの 炎が 星のように 見える。
33,33,0,リザードン,地上 1400メートルまで 羽を 使って 飛ぶことができる。高熱の 炎を 吐く。
34,34,1,リザードン,摂氏2000度の 炎が 体内で 渦巻く。 吠えると 火力が さらに 上がる。
35,35,2,リザードン,岩石も 焼けるような 灼熱の 炎を 吐いて 山火事を 起こすことが ある。
36,36,3,リザードン,キョダイマックスの パワーによって 炎の 翼を 持つ 巨大な リザードンの 姿が つくられた。
37,37,4,リザードン,口から 灼熱の 炎を 吐き出すとき 尻尾の先は より 赤く 激しく 燃え上がる。
38,38,5,リザードン,全身に みなぎる 並はずれた パワーが 体を 黒く 染め上げ 青い 炎を メラメラ 燃やす。
39,39,6,リザードン,トレーナーとの 絆が パワーの 源。 ジェット機を しのぐ 飛行能力を 誇る。
40,40,7,リザードン,強い 相手を 求めて 空を 飛び回る。 なんでも 溶かして しまう 高熱の 炎を 自分より 弱いものに 向けることは しない。
41,41,8,リザードン,苦しい 戦いを 経験した リザードンほど 炎の 温度が 高くなると 言われている。
42,42,0,ゼニガメ,長い 首を 甲羅のなかに 引っこめるとき 勢いよく 水鉄砲を 発射する。
43,43,1,ゼニガメ,水面から 水を 噴射して エサを 取る。危なくなると 甲羅に 手足を ひっこめて 身を 守る。
44,44,2,ゼニガメ,水面から 水を 噴射して エサをとる。危なくなると こうらに 手足を 引っこめて 身を守る。
45,45,3,ゼニガメ,危なくなると 甲羅に 手足を 引っこめて 身を 守りながら 口から 水を 吹き出している。
46,46,4,ゼニガメ,甲羅の 役目は 身を 守る だけではない。丸い 形と 表面の 溝が 水の 抵抗を 減らすので 速く 泳げるのだ。
47,47,5,ゼニガメ,甲羅に 閉じこもり 身を 守る。相手の すきを 見逃さず 水を 噴き出して 反撃する。
48,48,0,カメール,ポカンと 頭を たたかれるとき 甲羅に 引っこんで 避ける。でも ちょっとだけ 尻尾が 出ているよ。
49,49,1,カメール,ポカンと 頭を たたかれるとき こうらに 引っこんで よける。でも ちょっとだけ シッポが 出ているよ。
50,50,2,カメール,長生きの シンボルと されている。 甲羅に 苔が ついているのは とくに 長生きの カメールだ。
51,51,3,カメール,ふさふさの 耳と しっぽを たくみに 操って 水中での バランスを たもつ。
52,52,4,カメール,ふさふさの 毛で 覆われた 大きな 尻尾は 長生き するほど 深い 色合いに 変わる。甲羅の キズは 強者の 証。
53,53,5,カメール,1万年の 寿命を 持つと 言われている。ふさふさの しっぽは 長生きの シンボルとして人気。
54,54,6,カメール,1万年の 寿命を 持つと 言われている。ふさふさの 尻尾は 長生きの シンボルとして 人気。
55,55,0,カメックス,体が 重たく のしかかって 相手を 気絶させる。ピンチのときは 殻に 隠れる。
56,56,1,カメックス,精密な 射撃は 苦手。 31門の 大砲で 撃って撃って 撃ちまくる スタイルで 攻めるのだ。
57,57,2,カメックス,甲羅に 噴射口が あって ロケットのような 勢いで 突っ込んでくる すごい やつだ。
58,58,3,カメックス,相手に 狙いを 定めると 消防車の ホースより 強い 勢いで 水を 出す。
59,59,4,カメックス,甲羅の 大砲は 戦車並みの 威力。 発射の 衝撃を 強靭な 足腰で 踏ん張る。
60,60,5,カメックス,甲羅の ロケット砲 から 噴き出した ジェット水流は ぶ厚い 鉄板も つらぬく。
61,61,6,カメックス,真ん中の 主砲から 放たれる 水鉄砲は 山を 撃ち抜き 穴を 開ける 破壊力だ。
62,62,7,カメックス,甲羅の 噴射口の ねらいは 正確。水の 弾丸を 50メートル 離れた 空き缶に 命中させる ことが できるぞ。
63,63,8,カメックス,甲羅の ロケット砲から 吹き出す 水流は 分厚い 鉄板も 一発で 貫く 破壊力。
64,64,0,キャタピー,脚は 短いが 吸盤に なっているので 坂でも 壁でも くたびれることなく 進んでいく。
65,65,1,キャタピー,頭の 先にある 触角に ふれると 強烈な においを 出して 身を 守ろうとする。
66,66,2,キャタピー,"頭の 触覚から 強烈な においを 出して 敵を 追い払い 身を守る。"
67,67,3,キャタピー,足の 先は どんなところにも 吸いつく 吸盤。必死に 木登りをして 葉っぱを 食べる。
68,68,4,キャタピー,体 よりも 大きな 葉っぱを みるみる 食べつくして しまうほどの 食欲を もつ。 触角から 強烈な 臭いを 出すぞ。
69,69,5,キャタピー,赤い 触角から においを出して 敵を 追い払う。脱皮を 繰り返し 大きくなる。
70,70,6,キャタピー,とりポケモンに 襲われると ツノから 臭いを だして 抵抗 するが 餌食に なることも 多い。
71,71,7,キャタピー,捕まえやすく 成長も 早い。新米トレーナーの パートナーに おススメの ポケモンの 一匹。
72,72,8,キャタピー,早く 成長 したいのか 食欲旺盛で 1日に 100枚の 葉っぱを 食らう。
73,73,9,キャタピー,身体は 柔らかく 力もない。 自然界では 常に エサとして 狙われ 続ける 運命。
74,74,10,キャタピー,頭の 触角から 強烈な においを だして 敵を 追いはらい 身を守る。
75,75,0,トランセル,硬い 殻に 包まれているが 中身は 軟らかいので 強い 攻撃には 耐えられない。
76,76,1,トランセル,殻が 硬くなる前に 強い 衝撃を 受けると 中身が 出てしまうので 注意。
77,77,2,トランセル,身を守るため ひたすら カラを 硬くしても 強い 衝撃を 受けると 中身が 出てしまう。
78,78,3,トランセル,進化を 待っている 状態。硬くなる ことしか できないので 襲われないよう じっとしている。
79,79,4,トランセル,体の カラは 鉄板の ように 硬い。あまり 動かないのは カラの中で 柔らかい 中身が 進化の 準備を しているからだ。
80,80,5,トランセル,鋼鉄のように 硬い 殻で やわらかい 中身を 守っている。進化するまで じっと 耐えている。
81,81,6,トランセル,カラの中には トロトロの 中身が 詰まっている。ほぼ動かないのは ウッカリ 中身が こぼれないため。
82,82,7,トランセル,硬いと いっても 虫の 殻。割れてしまうことも あるので 激しい 戦いは 禁物。
83,83,8,トランセル,カラの中は ドロドロの 液体。 進化に 備えて 体中の 細胞を 作りなおしている。
84,84,9,トランセル,とても 硬いカラは ツツケラに 突かれても びくともしないが 揺れて 中身が こぼれてしまう。
85,85,0,バタフリー,羽は 水を 弾く りんぷんに 守られている。雨の 日でも 空を 飛ぶことが できる。
86,86,1,バタフリー,こまかく 速く 羽ばたいたら 猛毒の りんぷんが 風に のって 飛んでくるぞ。
87,87,2,バタフリー,キョダイマックスの パワーが 結晶となり まばゆく 光る 猛毒の りんぷんに なっている。
88,88,3,バタフリー,ハネの 猛毒の りん粉には 水を弾く 性質が あるので 雨の日 でも 飛びまわれる。
89,89,4,バタフリー,毎日 ミツを 集めまわる。 脚の 産毛に ミツを 塗りこんで 巣に 持ち帰る 習性をもつ。
90,90,5,バタフリー,10トントラックをも 吹きとばす 竜巻に 巻きこみつつ 猛毒の りんぷんで とどめを 刺す。
91,91,6,バタフリー,美味しい 花の ミツを 探す 能力に 優れ すみかから 10キロ離れた 場所に 咲く 花から ミツを 集めて 運んでいる。
92,92,7,バタフリー,花の ミツが 大好物。わずかな 花粉で 花畑の 場所を 探し出すことが できる。
93,93,8,バタフリー,大きな 眼を よく 観察すると 実は 小さな 眼が 無数に 集まって できているのが わかる。
94,94,9,バタフリー,他の ポケモンに 襲われると 毒の 鱗粉を 撒き散らしながら 羽ばたいて 抵抗 するのだ。
95,95,10,バタフリー,羽を 包む りん粉は 猛毒。 キャタピーを 狙う とりポケモンを 見つけると ふりかけて 追い払うぞ。
96,96,11,バタフリー,綺麗な 花の ミツが 好物。 花畑で アブリーとの 熾烈な 縄張り争いを 繰り広げる。
97,97,0,ビードル,森や 草地に 多く 生息。頭の 先に 5センチぐらいの 小さく 鋭い 毒針を持つ。
98,98,1,ビードル,頭に 鋭い ハリを もつ。 森や 草地の 茂みに 隠れ ひたすら ハッパを 食べている。
99,99,2,ビードル,毒針は とても 強力。目立つ 体の 色は 相手に 警戒を させるためだ。
100,100,3,ビードル,とても 鋭い 嗅覚を 持っている。好物の 葉っぱか 嫌いな 葉っぱか 大きな 赤い 鼻で 嗅ぎ分ける。
101,101,4,ビードル,毎日 自分と 同じ 重さの 葉っぱを 食べる。 頭の 針で 襲ってきた 敵を 撃退。
102,102,0,コクーン,自分では ほとんど 動けないが 危ないときは 硬くなって 身を守っているようだ。
103,103,1,コクーン,自分では ほとんど 動けないが 危なくなると ハリを出して 毒を 与えることも あるらしい。
104,104,2,コクーン,ほとんど 動かず 木に つかまっているが 中では 進化の 準備で 大忙し。その 証拠に 体が 熱くなっているぞ。
105,105,3,コクーン,天敵に 見つからないように 葉っぱの 裏や 枝の すきまに 隠れて 進化の ときを 待つ。
106,106,0,スピアー,集団で 現れることもある。猛スピードで 飛び回り お尻の 毒針で 刺しまくる。
107,107,1,スピアー,両手と お尻にある 3本の 毒針で 相手を 刺して 刺して 刺しまくって 攻撃する。
108,108,2,スピアー,両手と お尻にある 3本の 毒バリで 相手を 刺して 刺して 刺しまくって 攻撃する。
109,109,3,スピアー,両足も 毒針に 変化。手足の 針で 刺しまくったあと 尻の 毒針で 止めを 刺す。
110,110,4,スピアー,縄張り意識が とても 強いので スピアーの すみかには 近づかない ほうが 身の ためだ。怒ると 集団で 襲って くるぞ。
111,111,5,スピアー,高速で 飛びまわり 毒針で 攻撃したあと すぐに 飛び去る 戦法が 得意技だ。
112,112,0,ポッポ,森や 林に 多く 分布。地上でも 激しく はばたいて 砂を かけたりする。
113,113,1,ポッポ,おとなしい 性格で 襲われても 反撃 せずに 砂を かけて 身を 守ることが 多い。
114,114,2,ポッポ,方向 感覚に とても 優れているので どんなに 離れた 場所からでも 迷わずに 自分の 巣 まで 帰る ことが できる。
115,115,3,ポッポ,戦いを 好まない おとなしい 性格だが 下手に 手を 出すと 強烈に 反撃されるぞ。
116,116,0,ピジョン,足の ツメが 発達している。エサの タマタマを つかんで 100キロ先の 巣まで 運ぶ。
117,117,1,ピジョン,広い 縄張りを 持っており 侵入する 邪魔者は 徹底的に つつかれてしまう。
118,118,2,ピジョン,あり余る 体力の 持ち主で 広い 縄張りを 飛びまわり 遠くまで エサを 探しにいく。
119,119,3,ピジョン,広い 縄張りを 飛んで 見まわりを する。 縄張りを 荒らす 相手は 容赦 しない。 鋭い ツメで 徹底的に 懲らしめるぞ。
120,120,4,ピジョン,広い 縄張りを 飛び回りながら 獲物を 探す。 発達した 足の ツメで 獲物を しとめる。
121,121,0,ピジョット,美しい 羽を 広げて 相手を 威嚇する。マッハ2で 空を 飛び回る。
122,122,1,ピジョット,エサを 探すとき 水面 すれすれを 滑るように 飛んで コイキングなどを わしづかみにする。
123,123,2,ピジョット,マッハ2で 飛行し エサを探す。 その 大きな ツメは 武器と しても 恐れられている。
124,124,3,ピジョット,筋力が 大幅に アップ。2週間の あいだ 休まず 飛び続けることが できるのだ。
125,125,4,ピジョット,美しい 光沢の 羽を 持つ ポケモン。 頭の 羽の 美しさに 心 奪われ ピジョットを 育てる トレーナーも 多い。
126,126,5,ピジョット,ピジョットが 力いっぱい 羽ばたくと 大木も しなるほどの 強風を 巻き起こす。
127,127,0,コラッタ,キバは 長くて 鋭い。 一生 伸び続けるので 硬い ものを かじって 削る。
128,128,1,コラッタ,キバが2つ。とにかく なんでも かじってみる。1匹 見つけたら 40匹は そこに 住んでるはず。
129,129,2,コラッタ,嗅覚 鋭い ひげを 持つ。 隠してある 食べ物の 匂いを 嗅ぎとり たちどころに 見つけ出す。
130,130,3,コラッタ,食べるものが あるところなら どこにだって 生息する。 1日中 エサを 探している。
131,131,4,コラッタ,警戒心が とても 強く 寝ている ときも 耳を 動かし 周りの 音を 聞いている。 どこにでも すみつき 巣 を つくる。
132,132,5,コラッタ,どんな 場所にも 住みついて 生きていける 生命力。警戒心が とても 強い。
133,133,6,コラッタ,1日中 エサを 探している。キバは 死ぬまで 伸び続けるので 硬いものを かじって 削る。
134,134,7,コラッタ,前歯は 死ぬまで 伸び続けるので メンテナンスが 必要。 ヤスリを 用意しないと 柱を かじられる。
135,135,8,コラッタ,前歯で ドアを かじり 民家に 侵入。ヒゲを ひくつかせ 餌を 探しだし 盗んでいくぞ。
136,136,9,コラッタ,生命力が 強く 汚い 場所でも 平気で 暮らす。 ほっておくと どんどん 増えていく。
137,137,10,コラッタ,日が 暮れると 活動。 群れの ボスである ラッタのため いい餌を 求めて 街中を 駆け廻る。
138,138,11,コラッタ,一生 前歯が 伸び続ける。 あまりに 伸びすぎると エサが 食べられなくなって 餓死 する。
139,139,12,コラッタ,新鮮な ものにしか 興味を 示さない。 買い物に 連れていくと 食材選びの とき 助かる。
140,140,13,コラッタ,ありふれた ポケモンだが 注意。 鋭い 前歯は 堅い 材木さえ 簡単に へしおる。
141,141,14,コラッタ,エサを 求めて 夜な夜な 民家に 忍び込む。 大量 発生が 社会 問題と なっている。
142,142,0,ラッタ,後ろ足にある 小さな 水かきで 川を 泳ぐのは 水の中の エサを 捕るためだ。
143,143,1,ラッタ,手下の コラッタに 食べ物を 集めさせる。栄養 たっぷりで 美味しい ものだけを いただくのだ。
144,144,2,ラッタ,後ろ足に ついた 水かきを 使って 川を 渡り 広い 範囲で エサを 探し回る。
145,145,3,ラッタ,丈夫な キバは どんどん 伸びるので 岩や 大木を かじって 削っている。 家の カベを かじられる ことも あるよ。
146,146,4,ラッタ,伸び続ける 前歯を 削るため 硬い ものを かじる 習性。ブロック塀も かじって 壊す。
147,147,5,ラッタ,意外と 凶暴な ポケモン。長く 伸びた キバは 分厚い コンクリートも 簡単に 削る。
148,148,6,ラッタ,泳ぐのが 得意。 後ろ足に 小さな 水かきが ついていて 河や ときに 海を 渡ることも。
149,149,7,ラッタ,コラッタを 率い グループをつくる。グループには テリトリーが あり 餌を 巡り 抗争に なる。
150,150,8,ラッタ,見た目よりも ずっと 凶暴な 性質。 顔の 前に 手を 伸ばすと 噛み千切られる かも。
151,151,9,ラッタ,餌の 味と 鮮度に こだわる グルメな ポケモン。 ラッタが 棲む レストランは アタリと いわれる。
152,152,10,ラッタ,後ろ足の 小さい 水かきで 海を 泳いで 島を 渡り 敵から 逃げていた という。
153,153,11,ラッタ,とても 欲張りな 性質。巣には コラッタたちに 集めさせた エサが 食べきれないほど たんまり あるぞ。
154,154,12,ラッタ,ヒゲは バランスを とる 大切な 器官。 どんなに 仲良くなっても 触られると 怒って 噛みつく。
155,155,13,ラッタ,コラッタたちを 率いて 群れを 作る。 群れ同士は 仲が 悪く エサ場を 巡り 激しく 争う。
156,156,0,オニスズメ,草むらの 虫などを 食べる。羽が 短いために いつも 忙しく はばたいている。
157,157,1,オニスズメ,高く 飛ぶのは 苦手。 縄張りを 守るために 猛スピードで 飛びまわっている。
158,158,2,オニスズメ,自分の テリトリーを 守るため 短い 羽を はばたかせて 忙しく 飛び回っている。
159,159,3,オニスズメ,大きな 鳴き声は 1キロ 先まで 届く。 あちこちで カン高い 声が 聞こえる ときは 仲間たちに 危険を 報せている 合図だ。
160,160,4,オニスズメ,小さな 翼を 忙しく 羽ばたかせて 飛ぶ。 草むらにいる 獲物を クチバシで 探し出す。
161,161,5,オニスズメ,ハネが 短く 飛ぶのは やや苦手。せわしなく 動き回り 草むらの むしポケモンを ついばんでいる。
162,162,6,オニスズメ,食欲旺盛で よく 食べる。むしポケモンに 悩む 農家は オニスズメを 大切に する。
163,163,7,オニスズメ,自分のテリトリーを 守るためなら 大きな ポケモンが 相手でも 向かっていく 向こう見ずな 性質。
164,164,8,オニスズメ,羽が 短く 長い 距離を 飛べない。 せわしなく 動き まわって むしポケモンを ついばむ。
165,165,0,オニドリル,大きな 翼で 大空を 飛び続けることが できる。 1回も 降りなくても 平気だ。
166,166,1,オニドリル,昔から 住んでいる ポケモン。 少しでも 危険を 感じると 空高く 飛んで いってしまう。
167,167,2,オニドリル,長い 首と くちばしは 土や 水の 中に いる エサを 捕まえるのに 便利。細長い くちばしで 器用に つまむぞ。
168,168,3,オニドリル,大きな 翼で 1日中 飛び回る 体力の 持ち主。 鋭い クチバシで 戦う。
169,169,4,オニドリル,タフで 持久力に 優れる。重たい 荷物を 乗せたまま 丸1日 飛び続けても 平気。
170,170,5,オニドリル,遥か 太古の 壁画の中に オニドリルらしき ポケモンが 描かれていることが 判った。
171,171,6,オニドリル,オニドリルの 縄張りで 食べ物を 持って 歩くのは 危険だ。 あっという 間に かっさらわれるぞ。
172,172,7,オニドリル,アローラでは さかなポケモンが 獲物。 海の 上を 旋回し エサを探す 光景が 見られる。
173,173,0,アーボ,まったく 気配を 感じさせずに 移動する。ポッポや オニスズメの タマゴを まるのみ してしまう。
174,174,1,アーボ,育つほどに どんどん 長くなる。そして 夜中は 木の枝に グルグルと 絡まって 休む。
175,175,2,アーボ,ぐるぐる 体を 巻いて 休んでいるのは どの 方向から 敵が 襲ってきても とっさに 頭を 向けて 威嚇できるからだ。
176,176,3,アーボ,音を まったく 立てずに 草地の 中を 進む。油断している獲物に 背後から 襲いかかる。
177,177,4,アーボ,顎を 外すことで 自分より 大きな 獲物も 丸呑みに する。 食後は 身体を 丸め 休む。
178,178,5,アーボ,とりポケモンの タマゴが 好物。 噛まずに 丸呑みするので 喉が 詰まって 気を 失うことも。
179,179,6,アーボ,育つほどに どんどん 長くなる。 そして 夜中は 木の枝に グルグルと からまって 休む。
180,180,0,アーボック,お腹の 模様が 怖い 顔に 見える。弱い 敵は その 模様を 見ただけで 逃げ出してしまう。
181,181,1,アーボック,恐ろしげな お腹の 模様は 研究の 結果 6種類ほど パターンが 確認されている。
182,182,2,アーボック,胸を 広げ 威嚇するとき 口から 漏れる 空気の 音は 不気味で 相手を おびえさせる。
183,183,3,アーボック,締めつける 力は とても 強力。 ドラム缶も ぺしゃんこに してしまうぞ。 巻きつかれたら 逃げだす ことは 不可能だ。
184,184,4,アーボック,お腹の 模様で 敵を 威嚇。 模様に おびえて 動けなくなった すきに 体で 絞めつける。
185,185,5,アーボック,最新の 研究で お腹の 模様は 20種類 以上の パターンが あることが 判明。
186,186,6,アーボック,お腹の 模様で ひるませると 素早く 身体で 締め上げて 相手の 鼓動が 止まるのを 待つ。
187,187,0,ピカチュウ,ほっぺたの 両側に 小さい 電気袋を 持つ。ピンチのときに 放電する。
188,188,1,ピカチュウ,尻尾を 立てて まわりの 様子を 探っていると ときどき 雷が 尻尾に 落ちてくる。
189,189,2,ピカチュウ,はじめて みる ものには 電撃を 当てる。黒こげの きのみが 落ちていたら それは 電撃の 強さを 間違えた 証拠だよ。
190,190,3,ピカチュウ,ほっぺの 電気袋の 電気は 真夜中 寝ている 間に ためられている らしいよ。寝ぼけて 放電してしまう ことが ある。
194,194,7,ピカチュウ,電気を 溜める 性質。時々 思い切り 放電 しないと ストレスを 感じる。
196,196,9,ピカチュウ,電気を ため込む 性質。 ピカチュウが 群れて 暮らす 森は 落雷が 絶えず 危険だ。
198,198,11,ピカチュウ,寝てる 間に ほっぺの 袋で 電気を 作る。 寝不足 だと 弱い 電気しか 出せなくなるぞ。
200,200,13,ピカチュウ,森に 棲む ポケモン。 ほっぺの ふくろは 電気を ためるので 触ると パチパチ 痺れるぞ。
210,210,23,ピカチュウ,膨張した キョダイマックスの パワーによって 体が ふくれて 空まで 伸びる しっぽに なった。
211,211,24,ピカチュウ,おたがいの しっぽを くっつけて 電気を 流しあうのが ピカチュウ 同士の 挨拶だ。
220,220,33,ピカチュウ,カミナリの しっぽを 叩きつけると 落雷に 匹敵する 電圧と 電流が 相手を つらぬく。
221,221,0,ライチュウ,長い しっぽが アースになって 身を 守るため 自分自身は 高電圧にも 痺れないのだ。
222,222,1,ライチュウ,アローラ地方の 気候と 風土と エサが 原因で この 姿に 進化すると 考えられている。
223,223,2,ライチュウ,体に 電気が たまってくると 攻撃的な 性格に 変わる。 暗いところで 光って 見える。
224,224,3,ライチュウ,アローラ 秘伝の パンケーキが 大好き。 進化の 秘密が それに あるとか ないとか。
225,225,4,ライチュウ,電気が たまってくると 筋肉が 刺激され いつもより 攻撃的に なってしまう。
226,226,5,ライチュウ,電気袋が 空っぽに なると しっぽを まっすぐ 立てて 空気中の 電気を 集める。
227,227,6,ライチュウ,しっぽに 乗って サイコパワーで 浮遊しながら 星型に 作った 10万ボルトで 攻撃する。
228,228,7,ライチュウ,電気袋に 電気が たまり過ぎた ときは 尻尾を 地面に つけて 放電する。巣 の 近くには 地面に 焼け焦げが ある。
229,229,8,ライチュウ,弱い 電気を 全身から 出しているので 暗闇では うっすら 光って 見えるよ。尻尾を 地面に 刺して 電気を 逃がす。
230,230,9,ライチュウ,電撃は 10まんボルト。自分の 何倍も 大きい 相手を 一撃で 気絶させる。
231,231,10,ライチュウ,しっぽが アースの 役目をはたして 電気を 地面に 逃がすので 自分自身は しびれたりしない。
232,232,11,ライチュウ,電撃は 10万ボルトに 達することもあり ヘタに触ると インド象でも 気絶する。
233,233,12,ライチュウ,アローラ地方 でのみ この姿に 進化する。 その要因の ひとつが 餌であると 研究家は 語る。
234,234,13,ライチュウ,電気が 溜まると 気性が 荒くなる。 トレーナーでも 注意 しないと 襲われる。
235,235,14,ライチュウ,念力で 電気を 操る。 尻尾に 乗ると サイコパワーで 浮きあがり そのまま 移動。
236,236,15,ライチュウ,身体に 電気が たまるに つれ 攻撃的に。 実は 電気が ストレスなのでは という 説もある。
237,237,16,ライチュウ,サイコパワーを 集中させた シッポに乗り 滑るように 移動。陸サーファーの 異名を 持つ。
238,238,17,ライチュウ,ピカチュウの 姿が 好きな トレーナーも 多く なかなか 姿を 見かけない ポケモン。
239,239,18,ライチュウ,ほっぺを 揉みしだくと 甘くて かぐわしい 匂いが 漂う。 ただし 軽く 痺れてしまうぞ。
240,240,0,サンド,地面に 穴を 掘って 住む。 自分に 危険が 迫ると まるくなって 身を 守る。
241,241,1,サンド,体は 乾いている。しかし 夜中 気温が 下がったときは 皮膚に 滴が つくという。
242,242,2,サンド,氷に 覆われた 体で 地面を すべり 弾丸の ような スピードで 敵を 弾き飛ばす。
243,243,3,サンド,水気を 嫌い 乾燥地に 深い穴を 掘って 生活する。 一瞬で 体を まるめる。
244,244,4,サンド,水分を 無駄なく 吸収する 体の つくりなので 乾燥した 砂地でも 平気。 体を 丸めて 敵の 攻撃を 防ぐ。
245,245,5,サンド,からからに 乾いた 皮膚は とても 硬く 丸くなると どんな 攻撃でも はね返す。 夜中は 砂漠の 砂に 潜って 眠る。
246,246,6,サンド,雨が ほとんど 降らない 乾燥した 土地に 生息。体を 丸めて 身を 守る。
247,247,7,サンド,深い穴を 掘って 生活。危険が 迫ると 体を 丸め 敵の 攻撃を じっと 耐える。
248,248,8,サンド,身体を 丸めて ボールのような 姿に なれる。 転がりながら 砂漠を 高速で 移動する。
249,249,9,サンド,雪山に 棲む。 鋼の甲羅は とても 頑丈だが 硬すぎて 身体を 丸めることが できない。
250,250,10,サンド,雨の 降らない 乾燥地帯や 砂漠が 主な 棲みか。 穴を 掘って むしポケモンを 捕らえる。
251,251,11,サンド,氷の 上で サンドを 滑らせ その距離を 競う。 古来から 続く アローラの祭りの ひとつ。
252,252,12,サンド,雨の 少ない 土地に 棲んでいる。 危険が 迫ると 身体を 丸め 柔らかい お腹を 守るぞ。
253,253,13,サンド,火山の 噴火から 逃げるうちに 雪山に 移り棲んだ。 氷の 甲羅は 鋼並みの 硬さ。
254,254,14,サンド,湿気で 皮膚が ふやけてくると 火山に 向かう。 地熱の 高い 地面に はりつき 乾かすのだ。
255,255,15,サンド,背中の 皮膚は 鋼の 硬さ。 柔らかい おなかを 狙われるので 必死に 地面に しがみつく。
256,256,16,サンド,乾燥した 砂地で 砂浴びを するのが 好き。 体に ついた 汚れと 水気を 落とすのだ。
257,257,17,サンド,雪に 閉ざされた 山岳地帯で 暮らすうちに 鋼のように 硬い 氷の 体を 手に入れた。
258,258,18,サンド,地面を 掘って 巣穴を つくる。 地中の 硬い 岩も 鋭い ツメで 砕いて 掘り進むぞ。
259,259,19,サンド,南の 島の 雪山に 棲む。 吹雪になると 雪の中で 伏せて 飛ばされないように じっと 耐える。
260,260,0,サンドパン,背中を 丸めると トゲトゲの ボールみたいだ。 そのまま 転がって ぶつかってきたり 逃げたりする。
