,0,bunrui,name,no,omosa,spec_bougyo,spec_hp,spec_kougeki,spec_subayasa,spec_tokubou,spec_tokukou,takasa,text_1,text_2,tokusei_1,tokusei_2,type_1,type_2
0,,けむしポケモン,ビードル,013,3.2,2,3,3,3,2,2,0.3,もりやくさちにおおくせいそく。あたまのさきに５センチぐらいのちいさくするどいどくばりをもつ。,どくばりはとてもきょうりょく。めだつからだのいろはあいてにけいかいをさせるためだ。,244,0,12,8
0,,さなぎポケモン,コクーン,014,10.0,3,3,2,3,2,2,0.6,じぶんではほとんどうごけないがあぶないときはかたくなってみをまもっているようだ。,てんてきにみつからないようにはっぱのうらやえだのすきまにかくれてしんかのときをまつ。,111,0,12,8
0,,どくばちポケモン,スピアー,015,29.5,3,4,6,5,5,3,1.0,りょうてとおしりにある３ぼんのどくばりであいてをさしてさしてさしまくってこうげきする。,しゅうだんであらわれることもある。もうスピードでとびまわりおしりのどくばりでさしまくる。,222,0,12,8
0,,ことりポケモン,ポッポ,016,1.8,3,3,3,4,3,3,0.3,もりやはやしにおおくぶんぷ。ちじょうでもはげしくはばたいてすなをかけたりする。,たたかいをこのまないおとなしいせいかくだがへたにてをだすときょうれつにはんげきされるぞ。,98,118,1,10
0,,とりポケモン,ピジョン,017,30.0,4,4,4,5,3,3,1.1,あしのツメがはったつしている。エサのタマタマをつかんで１００キロさきのすまではこぶ。,ひろいなわばりをもっておりしんにゅうするじゃまものはてっていてきにつつかれてしまう。,98,118,1,10
0,,とりポケモン,ピジョット,018,39.5,5,5,5,6,5,5,1.5,エサをさがすときすいめんすれすれをすべるようにとんでコイキングなどをわしづかみにする。,うつくしいハネをひろげてあいてをいかくする。マッハ２でそらをとびまわる。,98,118,1,10
0,,ねずみポケモン,コラッタ,019,3.5,3,2,4,5,3,2,0.3,まえばはしぬまでのびつづけるのでメンテナンスがひつよう。ヤスリをよういしないとはしらをかじられる。,ひがくれるとかつどう。むれのボスであるラッタのためいいエサをもとめてまちじゅうをかけめぐる。,139,61,1,0
0,,ねずみポケモン,ラッタ,020,18.5,4,4,5,6,5,3,0.7,およぐのがとくい。うしろあしにちいさなみずかきがついていてかわやときにうみをわたることも。,みためよりもずっときょうぼうなせいしつ。かおのまえにてをのばすとかみちぎられるかも。,139,61,1,0
0,,ことりポケモン,オニスズメ,021,2.0,2,3,4,5,2,2,0.3,ハネがみじかくとぶのはにがて。せわしなくうごきまわりくさむらのむしポケモンをついばんでいる。,しょくよくおうせいでよくたべる。むしポケモンになやむのうかはオニスズメをたいせつにする。,98,0,1,10
0,,くちばしポケモン,オニドリル,022,38.0,4,4,6,6,4,4,1.2,タフでじきゅうりょくにすぐれる。おもたいにもつをのせたまままる１にちとびつづけてもへいき。,はるかたいこのへきがのなかにオニドリルらしきポケモンがえがかれていることがわかった。,98,0,1,10
0,,へびポケモン,アーボ,023,6.9,3,3,4,4,4,3,2.0,そだつほどにどんどんながくなる。そしてよなかはきのえだにグルグルとからまってやすむ。,まったくけはいをかんじさせずにいどうする。ポッポやオニスズメのたまごをまるのみしてしまう。,13,111,8,0
0,,コブラポケモン,アーボック,024,65.0,5,4,6,5,5,4,3.5,おなかのもようがこわいかおにみえる。よわいてきはそのもようをみただけでにげだしてしまう。,むねをひろげいかくするときくちからもれるくうきのおとはぶきみであいてをおびえさせる。,13,111,8,0
0,,ねずみポケモン,ピカチュウ,025,6.0,3,3,4,6,3,3,0.4,つくるでんきがきょうりょくなピカチュウほどほっぺのふくろはやわらかくよくのびるぞ。,おたがいのしっぽをくっつけてでんきをながしあうのがピカチュウどうしのあいさつだ。,103,0,5,0
0,,ねずみポケモン,ライチュウ,026,30.0,4,4,6,7,5,6,0.8,ながいしっぽがアースになってみをまもるためじぶんじしんはこうでんあつにもしびれないのだ。,でんきぶくろがからっぽになるとしっぽをまっすぐたててくうきちゅうのでんきをあつめる。,103,0,5,0
0,,ねずみポケモン,サンド,027,12.0,5,3,5,3,2,2,0.6,かんそうしたすなちですなあびをするのがすき。からだについたよごれとみずけをおとすのだ。,じめんをほってすあなをつくる。ちちゅうのかたいいわもするどいツメでくだいてほりすすむぞ。,94,0,9,0
0,,ねずみポケモン,サンドパン,028,29.5,7,5,6,4,4,3,1.0,しつどがひくいとちでくらすサンドパンほどせなかのトゲのてざわりはかたくなめらかになる。,するどいツメをひっかけてきをのぼる。したでまつサンドたちにきのみをおとしわけあたえるのだ。,94,0,9,0
0,,どくばりポケモン,ニドラン♀,029,7.0,4,4,3,3,3,3,0.4,オスよりもにおいにびんかん。ヒゲでかざむきをかくにんしながらかざしもでエサをさがすのだ。,かたいまえばできのみをくだいてたべる。ツノのさきはオスよりすこしまるみをおびている。,133,131,8,0
0,,どくばりポケモン,ニドリーナ,030,20.0,4,5,4,4,4,4,0.8,ひたいのツノはこどもにエサをあたえるときにささらないようたいかしたとかんがえられている。,むれにキケンがせまるとなかまでけっそくしてちょうおんぱのだいがっしょうをおみまいするぞ。,133,131,8,0
0,,ドリルポケモン,ニドクイン,031,60.0,6,6,6,5,5,5,1.3,せめるよりもまもるほうがとくい。よろいのようなウロコでいかなるこうげきからもこどもをまもる。,せなかのトゲのすきまにこどもをのせてあやす。そのときにどくがでることはけっしてないのだ。,133,131,8,9
0,,どくばりポケモン,ニドラン♂,032,9.0,3,3,4,3,3,3,0.5,ひたいのツノにはもうどくがある。けいかいしんがつよくおおきなみみをつねにそばだてている。,こがらだがいさましいせいしつ。なかよしのメスをまもるためみをていしてかかんにたたかう。,133,131,8,0
0,,どくばりポケモン,ニドリーノ,033,19.5,4,4,5,4,4,4,0.9,ダイヤモンドよりかたいツノでがんせきをくだいてまわる。つきのいしをさがしているのだ。,しんけいしつでけんかっぱやい。たいないのアドレナリンがふえるとどくそののうどもたかまるぞ。,133,131,8,0
0,,ドリルポケモン,ニドキング,034,62.0,5,5,6,5,5,5,1.4,あばれるとてがつけられなくなるがながねんつれそったニドクインのまえではおだやかなかおになる。,ちからじまんのポケモン。ふといしっぽとダイヤをもくだくツノをくししてごうかいにたたかう。,133,131,8,9
0,,ようせいポケモン,ピッピ,035,7.5,3,5,3,3,4,4,0.6,まんげつのよるピッピがあつまってダンスをおどるようすをみるとしあわせになれるといわれている。,あいくるしいしぐさとなきごえでかわいいとだいにんきのポケモン。だがめったにみつからない。,225,212,18,0
0,,ようせいポケモン,ピクシー,036,40.0,5,6,5,4,6,6,1.3,ようせいのなかまでめったにひとまえにでてこない。けはいをかんじてすぐにげてしまうようだ。,１キロさきにおちたはりのおともきこえるほどみみがいいのでふだんはしずかなところにいる。,225,212,18,0
0,,きつねポケモン,ロコン,037,9.9,3,3,3,4,4,3,0.6,こどもだが６ぽんのしっぽがうつくしい。せいちょうするとさらにしっぽがふえる。,６ぽんのしっぽはそだつごとにけなみがよくなりうつくしくなる。だきしめるとほんのりあたたかい。,230,0,2,0
0,,きつねポケモン,キュウコン,038,19.9,5,5,5,6,6,5,1.1,しっぽのいっぽんいっぽんにじんつうりきがこめられている。１０００ねんいきるといわれる。,あたまがよくてしゅうねんぶかい。ふざけてしっぽをつかむと１０００ねんたたられるという。,230,0,2,0
0,,ふうせんポケモン,プリン,039,5.5,2,7,3,2,2,3,0.5,はいかつりょうはポケモンかいでもトップクラス。あいてがねむるまでこもりうたをうたいつづけるぞ。,こえのはちょうをじざいにかえてきくとぜったいにねむくなるふしぎなメロディーをうたう。,225,36,1,18
0,,ふうせんポケモン,プクリン,040,12.0,3,9,5,3,3,5,1.0,いきをすえばすうほどふくらむ。ふきげんになるとからだをおおきくふくらませてあいてをいあつする。,キメこまやかなたいもうがじまん。とくにひたいのまきげはてんにものぼるごくじょうのてざわり。,225,36,1,18
0,,こうもりポケモン,ズバット,041,7.5,3,3,3,4,3,2,0.8,くちからだすちょうおんぱでまわりのようすをさぐる。せまいどうくつもきようにとびまわる。,ひのあたらないどうくつにすむ。あさになるとなかまであつまりからだをあたためあいながらねる。,102,0,8,10
0,,こうもりポケモン,ゴルバット,042,55.0,5,5,5,6,5,4,1.6,いきもののけつえきがこうぶつ。はらぺこのなかまにすったちをわけあたえることもあるという。,ちいさなあしできようにあるく。ねているエモノにしのびよりキバをつきたてちをすするのだ。,102,0,8,10
0,,ざっそうポケモン,ナゾノクサ,043,5.4,4,3,3,2,4,5,0.5,つきのひかりをあびてうごきだす。よるのあいだにタネをあちこちにばらまくためあるきまわる。,ひるまはたいようをさけるためつめたいじめんにもぐっている。つきのひかりをあびてそだつ。,236,0,4,8
0,,ざっそうポケモン,クサイハナ,044,8.6,5,4,4,3,5,5,0.8,めしべがはなつとてつもなくくさいにおいは２キロさきまでとどききをうしなわせる。,よだれのようにみえるあまいミツ。とてもねばねばしておりふれるといつまでもまとわりつく。,236,0,4,8
0,,フラワーポケモン,ラフレシア,045,18.6,5,5,5,3,6,7,1.2,せかいいちおおきなはなびらはあるくたびにゆれてたいりょうのどくかふんをばらまいてしまう。,はなびらがおおきいほどたくさんかふんをだすがあたまがおもたくてつかれてしまうという。,236,0,4,8
0,,きのこポケモン,パラス,046,5.4,4,3,5,2,4,3,0.3,くってもくってもせなかにはえているキノコがほとんどえいようをうばっていくのだ。,とうちゅうかそうというせなかのキノコはちょうじゅのくすり。かわかしふんまつにしてつかう。,201,42,12,4
0,,きのこポケモン,パラセクト,047,29.5,5,4,6,2,5,4,1.0,おおきなキノコがパラセクトをあやつっている。よくマシェードとなわばりあらそいをしている。,キノコのカサからどくのほうしをまきちらす。ほうしをあつめてせんじるとかんぽうやくになる。,201,42,12,4
0,,こんちゅうポケモン,コンパン,048,30.0,3,4,4,3,4,3,1.0,ちいさなめがたくさんあつまっておおきなめになっている。よるになるとあかりにあつまる。,おおきなきのしたにすんでいてむしなどをたべているらしい。よるはあかりのそばにやってくる。,179,19,12,8
0,,どくがポケモン,モルフォン,049,12.5,4,5,4,6,5,6,1.5,ばらまかれたりんぷんにふれるとからだのかんかくがおかしくなってまっすぐたっていられなくなる。,はねにりんぷんがついていてヒラヒラとはばたくたびにもうどくのこなをばらまく。,244,19,12,8
0,,もぐらポケモン,ディグダ,050,0.8,2,1,4,6,3,3,0.2,ディグダがとおったあとのだいちはほどよくたがやされてさいこうのはたけになる。,ちちゅうのあさいところをいどう。ほりすすんだあとはじめんがもりあがっているのですぐわかる。,94,11,9,0
0,,もぐらポケモン,ダグトリオ,051,33.3,3,3,6,8,5,3,0.7,チームワークにすぐれたみつごのディグダ。ちか１００キロまでほってじしんをおこすこともある。,ちか１００キロまでほりすすむパワーをひめたみつごのディグダ。じめんのしたはだれもしらない。,94,11,9,0
0,,ばけねこポケモン,ニャース,052,4.2,3,3,3,6,3,3,0.4,ひかりものをあつめるのがすき。きげんがいいときはトレーナーにもコレクションをみせてくれるぞ。,ひたいのこばんがよごれないようまめにかおをあらう。ガラルのニャースとはなかがわるい。,228,121,1,0
0,,シャムネコポケモン,ペルシアン,053,32.0,4,4,5,7,4,4,1.0,きぐらいがたかくなつかせるのはたいへん。きにくわないことがあるとすぐにツメをたててくる。,ゆうがでじょうひんなみのこなし。やばんなニャイキングとはそりがあわずおたがいをみくだしている。,74,121,1,0
0,,あひるポケモン,コダック,054,19.6,3,3,4,4,3,4,0.8,いつもずつうになやんでいる。ふしぎなちからをばくはつさせるとしばらくいたみはおさまるようだ。,ストレスがたまるとずつうがエスカレート。きょうりょくなねんりきでまわりをあっとうする。,72,145,3,0
0,,あひるポケモン,ゴルダック,055,76.6,5,5,5,5,5,6,1.7,ながれのおだやかなかわにすむ。ながいてあしでみずをかきわけゆうがなおよぎをみせる。,かわをよごしたにんげんをすいちゅうにひきこみつれさるむかしばなしがのこされている。,72,145,3,0
0,,ぶたざるポケモン,マンキー,056,28.0,3,3,5,5,3,3,0.5,まえぶれもなくとつぜんおこる。あばれまくってだれもいなくなるとこどくにたえられなくてまたおこる。,いかりちらしてつかれてねむるがゆめのなかではらをたていかりでめざめめざめたことにまたいかる。,231,14,7,0
0,,ぶたざるポケモン,オコリザル,057,32.0,4,4,7,6,5,4,1.0,あまりにおこりすぎてそのまましんでしまうことがあるほどだがそのしにがおはとてもやすらか。,あるけんきゅうしゃのがくせつではモンスターボールのなかでもオコリザルはおこっているらしい。,231,14,7,0
0,,こいぬポケモン,ガーディ,058,19.0,3,4,5,4,3,5,0.7,じぶんよりつよくておおきなあいてにもおそれずにたちむかうゆうかんでたのもしいせいかく。,ちゅうじつなせいかくでおやのトレーナーをまもるためひっしにあいてにほえかかる。,13,230,2,0
0,,でんせつポケモン,ウインディ,059,155.0,5,6,7,6,5,6,1.9,いっちゅうやで１００００キロのきょりをかけぬけるすがたはおおくのひとをみりょうしてきた。,むかしからおおくのひとをとりこにしたうつくしいポケモン。とぶようにかろやかにはしる。,13,230,2,0
0,,おたまポケモン,ニョロモ,060,12.4,3,3,3,6,3,3,0.6,あるくよりもおよぐほうがとくい。おなかのうずまきもようはすけてみえるないぞうのいちぶだ。,ながれがはやいかわではぶあついくちびるをきゅうばんのようにいわにくっつけてしがみつく。,119,72,3,0
0,,おたまポケモン,ニョロゾ,061,20.0,4,4,4,6,3,3,1.0,おなかのうずはずっとみているとねむくなる。こもりうたがわりにこどもをねつかせるのにもつかう。,ぬめぬめとしたねんえきじょうのあせをかく。てきにつかまってもぬるりとすりぬけにげるのだ。,119,72,3,0
0,,おたまポケモン,ニョロボン,062,54.0,6,6,6,5,6,5,1.3,ぜんしんがきんにくのかたまり。さむいうみでもたくましいうででりゅうひょうをくだきつきすすむ。,およぎだけでなくかくとうぎもとくい。きたえあげたうでからごうかいなパンチをくりだす。,119,72,3,7
0,,ねんりきポケモン,ケーシィ,063,19.5,1,2,2,6,4,7,0.9,ねながらちょうのうりょくをあやつる。ゆめのないようがつかうちからにえいきょうする。,ねむったままテレポートできる。ねむりがふかいほどはなれたばしょにいどうするという。,81,102,11,0
0,,ねんりきポケモン,ユンゲラー,064,56.5,2,3,3,7,5,8,1.3,サイコパワーでちゅうにういたままねむる。だんりょくにすぐれたしっぽをまくらがわりにするぞ。,ねんりきのいりょくはぜつだい。しんかにそなえてひたいのほしにサイコパワーをたくわえている。,81,102,11,0
0,,ねんりきポケモン,フーディン,065,48.0,3,4,3,8,6,8,1.5,ひじょうにたかいちのうをもつ。うまれてからしぬまでのできごとをすべておぼえているという。,きょうりょくなちょうのうりょくをあやつる。りょうてのスプーンはそのちからでつくりだしたという。,81,102,11,0
0,,かいりきポケモン,ワンリキー,066,19.5,3,5,5,3,3,3,0.8,ぜんしんがきんにくになっておりこどもほどのおおきさしかないのにおとな１００にんをなげとばせる。,いつもパワフル。たいりょくがありあまっているのでひまつぶしにいわをもちあげさらにつよくなる。,61,144,7,0
0,,かいりきポケモン,ゴーリキー,067,70.5,5,5,6,3,4,3,1.5,すごくきょうじんなにくたいなのでパワーセーブベルトをつけてつよさをせいぎょしている。,つかれることのないきょうじんなにくたいをもつ。おもいにもつのうんぱんなどのしごとをてつだう。,61,144,7,0
0,,かいりきポケモン,カイリキー,068,130.0,5,6,8,4,5,4,1.6,４ほんのうでをすばやくうごかしあらゆるかくどからやすむことなくパンチやチョップをたたきこむ。,４ほんのうではかんがえるよりはやくはんしゃてきにうごきなんぱつものパンチをくりだせる。,61,144,7,0
0,,フラワーポケモン,マダツボミ,069,4.0,3,3,5,3,2,5,0.7,ひょろっとしたからだつきだがえものをとらえるときのうごきはめにもとまらないほどすばやい。,ひとのかおのようなツボミからでんせつのマンドラゴラのいっしゅではないかとささやかれている。,236,0,4,8
0,,ハエとりポケモン,ウツドン,070,6.4,3,4,6,4,3,5,1.0,はっぱのぶぶんはカッターになってあいてをきりさく。くちからはなんでもとかすえきたいをはく。,まずどくのこなをはきあいてのうごきをとめてしまってからようかいえきでとどめをさす。,236,0,4,8
0,,ハエとりポケモン,ウツボット,071,15.5,4,5,7,5,5,6,1.7,ジャングルのおくちにウツボットばかりいるちたいがあっていったら２どとかえってこれない。,たいないにとりこまれたものはどんなにかたくてもようかいえきであとかたなくとかされてしまう。,236,0,4,8
0,,くらげポケモン,メノクラゲ,072,45.5,3,3,3,5,6,3,0.9,およぐちからはつよくはない。あさいうみのみなもをただよいながらエモノをさがす。,ほとんどがすいぶんでできているからだはうみのなかではみずとどうかしてとてもみえづらいのだ。,57,197,3,8
0,,くらげポケモン,ドククラゲ,073,55.0,4,5,5,6,8,5,1.6,あたまのあかいたまのひかりがつよくなったらようちゅうい。ちょうおんぱをはなつまえぶれだ。,８０ぽんのしょくしゅはのびちぢみじゆう。あみのようにひろげてエモノをとらえどくバリをさす。,57,197,3,8
0,,がんせきポケモン,イシツブテ,074,20.0,6,3,5,2,2,2,0.4,まるくもちやすいがなげあうにはかたくておもい。ゆきだまのようにぶつけあってあそぶにはキケンだ。,そこらのみちばたにいくらでもいる。ヒマながくしゃがかぞえてみたら１つのどうろに１００ぴきいた。,15,40,13,9
0,,がんせきポケモン,ゴローン,075,105.0,7,4,6,3,3,3,1.0,コケのついたいわがだいこうぶつ。ボリボリとおとをたてながら１にち１トンいじょうをくらう。,あしがのろいのでからだをまるめころがっていどう。いきおいづくとじそくは１００キロをこえる。,15,40,13,9
0,,メガトンポケモン,ゴローニャ,076,300.0,8,5,8,3,4,4,1.4,ダイナマイトでばくはしてもキズひとつつかないからだだがしっけやあめはだいきらい。,１ねんに１どだっぴ。ぬいだカラはつちにかえりどじょうをゆたかにするのでのうかがあつめている。,15,40,13,9
0,,ひのうまポケモン,ポニータ,077,30.0,4,3,5,6,4,4,1.0,うまれたばかりではたつのがやっと。だがはしるほどにあしこしはきたえられてそくどがましていく。,おやのあとをおいかけるうちにきょうじんなあしこしになる。１にちじゅうのやまをかけまわる。,139,230,2,0
0,,ひのうまポケモン,ギャロップ,078,95.0,5,4,6,7,5,5,1.7,はやくうごくぶったいをみるときょうそうしたくなりもうれつなスピードでおいかけはじめる。,はしるそくどはじそく２４０キロ。たてがみのほのおがはげしくもえやのようにかけぬける。,139,230,2,0
0,,まぬけポケモン,ヤドン,079,36.0,4,6,4,1,3,3,1.2,まぬけでどんかん。しっぽをたべられてもいたみをかんじないしはえかわったことにもきづかない。,しっぽをみずにひたすとあまみがにじみでるのでそれをエサにポケモンをおびきよせつりあげる。,136,208,3,11
0,,やどかりポケモン,ヤドラン,080,78.5,7,6,5,2,5,6,1.6,シェルダーにしっぽをかまれてしんか。シェルダーはしっぽからにじみでるあまみにゆめごこちだ。,シェルダーにかまれたショックでにそくほこうになった。シェルダーがはなれるとヤドンにもどるらしい。,136,208,3,11
0,,じしゃくポケモン,コイル,081,6.0,5,2,3,3,4,6,0.3,たいないのでんきがきれてじめんにころがっていることもある。でんちをあげるとうごきだすよ。,でんきをくっていきている。さゆうのユニットからでんじはをほうしゃしながらそらをとぶ。,79,40,5,17
0,,じしゃくポケモン,レアコイル,082,60.0,6,3,4,5,5,8,1.0,３びきのコイルがれんけつした。きょうりょくなでんぱをはなちまわりのようすをかんそくする。,つよいじりょくをたえずはなつ。レアコイルがちかづくとたいていのコンピュータはいじょうをきたす。,79,40,5,17
0,,かるがもポケモン,カモネギ,083,15.0,4,4,6,4,4,4,0.8,もっているクキはたいせつなぶきでもありかたなをふるようにいろんなものをきることができる。,じぶんのすをつくるためのしょくぶつのクキをいっぽんいつももってあるいている。,98,102,1,10
0,,ふたごどりポケモン,ドードー,084,39.2,3,3,5,5,3,3,1.4,とつぜんへんいでみつかった２つのあたまをもつポケモン。じそく１００キロではしる。,２つのあたまののうみそはテレパシーのようなちからできもちをつうじあわせているらしい。,139,159,1,10
0,,みつごどりポケモン,ドードリオ,085,85.2,5,4,7,7,4,4,1.8,３つのあたまがみているまえでわずかでもすきをみせるとくちばしではげしくつつかれる。,めったにみつからないちんしゅ。３つのあたまはよろこびかなしみいかりのかんじょうをあらわす。,139,159,1,10
0,,あしかポケモン,パウワウ,086,90.0,4,4,3,3,5,3,1.1,ひょうざんでくらすポケモン。あたまのとがったでっぱりでこおりをわってうみをおよぐ。,みずいろのたいもうにおおわれたひふはぶあつくてじょうぶ。れいか４０どでもかつどうできる。,5,21,3,0
0,,あしかポケモン,ジュゴン,087,120.0,5,6,5,5,6,5,1.7,ぜんしんがまっしろなけでおおわれている。さむさにつよくむしろさむいほどげんきになる。,からだはみずのていこうがすくないりゅうせんけい。さむくなるほどげんきがでてくる。,5,21,3,6
0,,ヘドロポケモン,ベトベター,088,30.0,3,5,5,2,3,3,0.9,こうじょうがたれながすヘドロのはいえきがおもなエサなのだ。さいきんはかずがへってきた。,つきからのエックスせんをあびたヘドロがへんかしたんじょう。からだのばいきんがへるとしぬ。,4,143,8,0
0,,ヘドロポケモン,ベトベトン,089,30.0,5,7,7,3,6,4,1.2,とにかくはながまがるほどくさい。だがいちぶにはそれがいいというベトベトンマニアもそんざいする。,かんきょうがせいびされたさいきんはめっきりすがたをみなくなった。いずれぜつめつするといわれている。,4,143,8,0
0,,２まいがいポケモン,シェルダー,090,4.0,6,2,4,3,2,3,0.3,２まいのカラをあけたりとじたりすることでうしろむきにおよぐ。そのスピードはけっこうはやい。,かたいカラはどんなこうげきもはねかえす。ひらいたときになかをこうげきされるとよわい。,68,87,3,0
0,,２まいがいポケモン,パルシェン,091,132.5,11,3,6,5,3,5,1.5,カラがひじょうにかたくナパームだんでもこわせない。こうげきするときだけひらく。,いちどカラをとじてしまうとどんなかいりきのもちぬしでもあけることはふかのうだ。,68,87,3,6
0,,ガスじょうポケモン,ゴース,092,0.1,2,2,3,5,3,6,1.3,ガスからうまれたせいめいたい。どくをふくんだガスのからだにつつまれるとだれでもきぜつする。,うすいガスのようなからだでどこにでもしのびこむがかぜがふくとふきとばされる。,187,0,14,8
0,,ガスじょうポケモン,ゴースト,093,0.1,3,3,3,6,4,7,1.6,ガスじょうのしたでなめられるとからだのふるえがとまらなくなりやがてはしにいたるという。,くらやみでだれもいないのにみられているようなきがしたらそこにゴーストがいるのだ。,187,0,14,8
0,,シャドーポケモン,ゲンガー,094,40.5,4,4,4,7,5,8,1.5,まんげつのよるかげがかってにうごきだしてわらうのはゲンガーのしわざにちがいない。,やまでそうなんしたときいのちをうばいにくらやみからあらわれることがあるという。,147,0,14,8
0,,いわへびポケモン,イワーク,095,210.0,10,3,3,5,3,2,8.8,ちちゅうをほりすすみながらいろんなかたいものをとりこみがんじょうなからだをつくる。,おおきくじょうぶなからだをくねらせよじらせじそく８０キロでじめんをいきおいよくほりすすむ。,15,40,13,9
0,,さいみんポケモン,スリープ,096,32.4,3,4,3,3,6,3,1.0,ユメをくらっていきるポケモン。ムンナやムシャーナときょうつうのそせんをもつとかんがえられている。,ことたのしいユメはうまいらしい。なつくといちばんおいしかったユメをみせてくれることもあるよ。,186,238,11,0
0,,さいみんポケモン,スリーパー,097,75.6,5,5,5,4,7,5,1.6,ひじょうにきけんなポケモンだがあんみんをもとめるひとびとにはきゅうせいしゅとよばれている。,であったものをとりあえずねむらせそのユメをあじみ。いいユメをみていたらそのままつれさる。,186,238,11,0
0,,さわがにポケモン,クラブ,098,6.5,6,2,7,3,2,2,0.4,うみのちかくでみつかる。おおきなハサミはもぎとってもあとからまたはえてくる。,きけんがせまるとくちからはきだすあわでぜんしんをつつんでからだをおおきくみせようとする。,30,68,3,0
0,,はさみポケモン,キングラー,099,60.0,7,4,8,5,3,3,1.3,かたいハサミは１まんばりきのパワーをもっているがおおきすぎてうごきがにぶい。,はかいりょくばつぐんのおおきなハサミだがおもすぎるのでたたかわないときはじゃまになる。,30,68,3,0
0,,ボールポケモン,ビリリダマ,100,10.4,3,3,2,6,4,4,0.5,モンスターボールがうりだされたのとおなじじきにはっけんされた。なにかかんけいがあるといわれる。,はつでんしょなどにあらわれる。モンスターボールとまちがえてさわってしびれるひとがおおい。,200,103,5,0
0,,ボールポケモン,マルマイン,101,66.6,5,4,3,9,5,5,1.2,すこしのしげきにはんのうしてばくはつする。バクダンボールというあだなでこわがられている。,あふれるほどのでんきエネルギーをたいないにためこんでいるのですこしのしげきでばくはつする。,200,103,5,0
0,,たまごポケモン,タマタマ,102,2.5,5,4,3,3,3,4,0.4,タマゴのようにみえるがりっぱなポケモン。テレパシーでなかまとこうしんしているらしいぞ。,６ぴきでいないとおちつかない。１ぴきでもいなくなるととたんににげごしになるのだ。,236,0,4,11
0,,やしのみポケモン,ナッシー,103,120.0,5,6,6,4,5,8,2.0,３つのあたまはべつのことをかんがえている。じぶんいがいはあまりきょうみがないようだ。,３つのあたまがいちがんとなってうつサイコパワーはきょうりょく。そらがくもるとうごきがにぶる。,236,0,4,11
