Words,福田
高齢_名詞,3
受け_動詞,3
徹底_名詞,3
軽減_名詞,3
公務員_名詞,3
発生_名詞,3
行う_動詞,3
考え方_名詞,3
決して_副詞,3
職務_名詞,3
同盟_名詞,3
暮らし_名詞,3
発展_名詞,3
課題_名詞,3
１_名詞,3
なく_助動詞,3
維持_名詞,3
たち_名詞,3
見据え_動詞,3
実行_名詞,3
家庭_名詞,3
場合_名詞,3
考え_動詞,3
基づき_動詞,3
取り戻す_動詞,3
今_名詞,3
住宅_名詞,3
られ_動詞,3
温暖_名詞,3
行わ_動詞,3
示し_動詞,3
教育_名詞,3
変化_名詞,3
ともに_副詞,3
努力_名詞,3
それぞれ_名詞,3
食品_名詞,3
あり方_名詞,3
希望_名詞,3
重要_名詞,3
大_接頭詞,3
様々_名詞,3
べく_助動詞,3
景気_名詞,3
議員_名詞,3
先_名詞,3
災害_名詞,3
税_名詞,3
等_名詞,3
情勢_名詞,3
行い_動詞,3
議論_名詞,3
より_動詞,3
自ら_名詞,3
雇用_名詞,3
生産_名詞,3
資金_名詞,3
厳しい_形容詞,3
貢献_名詞,3
回復_名詞,3
人口_名詞,3
促進_名詞,3
達成_名詞,3
仕事_名詞,3
政権_名詞,3
排出_名詞,2
喫緊_名詞,2
高い_形容詞,2
多く_名詞,2
５_名詞,2
与党_名詞,2
一人ひとり_名詞,2
もっ_動詞,2
せ_動詞,2
合い_動詞,2
法_名詞,2
面_名詞,2
自助_名詞,2
といった_助詞,2
海上_名詞,2
直面_名詞,2
踏まえ_動詞,2
自覚_名詞,2
増加_名詞,2
北朝鮮_名詞,2
国連_名詞,2
伴う_動詞,2
発想_名詞,2
お願い_名詞,2
づくり_名詞,2
一体_名詞,2
にわたり_助詞,2
説明_名詞,2
成熟_名詞,2
明日_名詞,2
置か_動詞,2
でき_動詞,2
そして_接続詞,2
目標_名詞,2
ところ_名詞,2
巡る_動詞,2
通じ_動詞,2
いう_動詞,2
依存_名詞,2
検討_名詞,2
選挙_名詞,2
透明_名詞,2
ガス_名詞,2
向上_名詞,2
総合_名詞,2
年_名詞,2
内外_名詞,2
大臣_名詞,2
なく_形容詞,2
体系_名詞,2
展開_名詞,2
こそ_助詞,2
政府_名詞,2
閣僚_名詞,2
支払わ_動詞,2
内閣_名詞,2
技術_名詞,2
国家_名詞,2
をもって_助詞,2
まで_助詞,2
世代_名詞,2
結果_名詞,2
救急_名詞,2
各国_名詞,2
さ_名詞,2
き_動詞,2
いき_動詞,2
なら_動詞,2
参議院_名詞,2
公_名詞,2
これ_名詞,2
声_名詞,2
効率_名詞,2
守り_動詞,2
取り組む_動詞,2
大変_名詞,2
不便_名詞,2
目指す_動詞,2
全般_名詞,2
大量_名詞,2
産業_名詞,2
各位_名詞,2
時間_名詞,2
労働_名詞,2
自由民主党_名詞,2
続行_名詞,2
育てる_動詞,2
図り_動詞,2
組織_名詞,2
姿_名詞,2
道_名詞,2
資源_名詞,2
耳_名詞,2
尽くす_動詞,2
こうした_連体詞,2
強力_名詞,2
引き継ぐ_動詞,2
利用_名詞,2
正規_名詞,2
理念_名詞,2
もたらし_動詞,2
か_助詞,2
確保_名詞,2
ふさわしい_形容詞,2
遂行_名詞,2
不可欠_名詞,2
身_名詞,2
超え_動詞,2
調和_名詞,2
著しい_形容詞,2
場_名詞,2
都市_名詞,2
利益_名詞,2
つくっ_動詞,2
せる_動詞,2
新しい_形容詞,2
先送り_名詞,2
早急_名詞,2
分野_名詞,2
極めて_副詞,2
減少_名詞,2
どの_連体詞,2
支え_動詞,2
生じ_動詞,2
おかけ_名詞,2
暮らせる_動詞,2
歳出_名詞,2
次世代_名詞,2
一_名詞,2
学校_名詞,2
頂い_動詞,2
だけ_助詞,2
積極_名詞,2
特に_副詞,2
全体_名詞,2
本格_名詞,2
高める_動詞,2
非_接頭詞,2
理解_名詞,2
連携_名詞,2
与野党_名詞,2
改善_名詞,2
投資_名詞,2
として_助詞,2
諸国_名詞,2
拉致_名詞,2
重大_名詞,2
まず_副詞,2
に対して_助詞,2
都会_名詞,2
遵守_名詞,2
野党_名詞,2
男性_名詞,1
増大_名詞,1
成果_名詞,1
誠意_名詞,1
管理_名詞,1
処方箋_名詞,1
不安定_名詞,1
要_名詞,1
より_副詞,1
ばら_名詞,1
家族_名詞,1
就い_動詞,1
一時_名詞,1
迷惑_名詞,1
引き締まる_動詞,1
根絶_名詞,1
方針_名詞,1
行動_名詞,1
頂く_動詞,1
なお_副詞,1
星_名詞,1
丁寧_名詞,1
改正_名詞,1
世紀_名詞,1
相互_名詞,1
に当たって_助詞,1
誇り_名詞,1
専念_名詞,1
教員_名詞,1
育児_名詞,1
制_名詞,1
お詫び_名詞,1
時_名詞,1
財産_名詞,1
恥じる_動詞,1
基礎_名詞,1
まま_名詞,1
見直し_名詞,1
逆転_名詞,1
長時間_名詞,1
アセアン_名詞,1
男女_名詞,1
つけ_動詞,1
簡素_名詞,1
奉仕_名詞,1
作り_名詞,1
解消_名詞,1
自分_名詞,1
攻め_名詞,1
設計_名詞,1
なし_名詞,1
適合_名詞,1
帰国_名詞,1
知的_名詞,1
産み_動詞,1
基づく_動詞,1
体験_名詞,1
その後_名詞,1
総理_名詞,1
常任_名詞,1
定期_名詞,1
果たす_動詞,1
物_名詞,1
申し上げる_動詞,1
半減_名詞,1
再編_名詞,1
働きかけ_名詞,1
悪循環_名詞,1
農林_名詞,1
打ち立て_動詞,1
抱い_動詞,1
応じ_動詞,1
働き_動詞,1
病院_名詞,1
きれ_動詞,1
何_名詞,1
根付く_動詞,1
立国_名詞,1
申し上げ_動詞,1
養い_動詞,1
食卓_名詞,1
確立_名詞,1
食_名詞,1
そらさ_動詞,1
抜け出し_動詞,1
統合_名詞,1
国内_名詞,1
一定_名詞,1
きめ細か_名詞,1
協議_名詞,1
先生_名詞,1
使う_動詞,1
絞り込み_名詞,1
含め_動詞,1
施設_名詞,1
在日_名詞,1
活かし_動詞,1
機構_名詞,1
講じ_動詞,1
最高_名詞,1
舵取り_名詞,1
住まい_名詞,1
大切_名詞,1
給与_名詞,1
正しい_形容詞,1
不足_名詞,1
諸_接頭詞,1
襟_名詞,1
農業_名詞,1
並びに_接続詞,1
ＷＴＯ_名詞,1
話し合い_動詞,1
創設_名詞,1
輸送_名詞,1
理事_名詞,1
助け合う_動詞,1
モラル_名詞,1
施策_名詞,1
一つ一つ_名詞,1
自衛隊_名詞,1
成り立つ_動詞,1
いただける_動詞,1
実態_名詞,1
郵政_名詞,1
変え_動詞,1
引き続き_副詞,1
是正_名詞,1
リード_名詞,1
交換_名詞,1
高く_形容詞,1
貧困_名詞,1
断ち切る_動詞,1
ロシア_名詞,1
立脚_名詞,1
続ける_動詞,1
主要_名詞,1
インド洋_名詞,1
開発_名詞,1
街_名詞,1
公明党_名詞,1
運用_名詞,1
年度_名詞,1
総裁_名詞,1
拡散_名詞,1
正す_動詞,1
朝_名詞,1
邦人_名詞,1
高め_動詞,1
任命_名詞,1
非核_名詞,1
それ_名詞,1
連帯_名詞,1
行く末_名詞,1
加速_名詞,1
申し述べる_動詞,1
各_接頭詞,1
財源_名詞,1
小規模_名詞,1
幹部_名詞,1
第一歩_名詞,1
でも_助詞,1
同時に_副詞,1
過去_名詞,1
分かち_動詞,1
耐震_名詞,1
一端_名詞,1
六_名詞,1
無駄_名詞,1
育て_動詞,1
実感_名詞,1
海外_名詞,1
建設_名詞,1
抱え_動詞,1
思いやり_名詞,1
取り_動詞,1
通常_名詞,1
痛感_名詞,1
量_名詞,1
協力_名詞,1
増やす_動詞,1
真に_副詞,1
最大限_名詞,1
信じ_動詞,1
介護_名詞,1
エネルギー_名詞,1
府_名詞,1
不可能_名詞,1
人権_名詞,1
発揮_名詞,1
尊重_名詞,1
少なく_形容詞,1
不信_名詞,1
対策_名詞,1
念頭_名詞,1
尽くし_動詞,1
長持ち_名詞,1
自然_名詞,1
決別_名詞,1
活性_名詞,1
持てる_動詞,1
の_名詞,1
不幸_名詞,1
歩_名詞,1
最先端_名詞,1
堅持_名詞,1
ゼロ_名詞,1
潮流_名詞,1
なる_助動詞,1
減る_動詞,1
車_名詞,1
福祉_名詞,1
合う_動詞,1
志向_名詞,1
悪徳_名詞,1
しかし_接続詞,1
率先_名詞,1
方向_名詞,1
取引_名詞,1
迎え_動詞,1
人材_名詞,1
一元_名詞,1
亡くなら_動詞,1
少子_名詞,1
受け取る_動詞,1
住_名詞,1
常に_副詞,1
忠実_名詞,1
もちろん_副詞,1
患者_名詞,1
韓国_名詞,1
頻発_名詞,1
関心_名詞,1
放置_名詞,1
所存_名詞,1
領土_名詞,1
おら_動詞,1
本日_名詞,1
国政_名詞,1
取り戻し_動詞,1
いわ_動詞,1
指摘_名詞,1
州_名詞,1
強み_名詞,1
中国_名詞,1
自己_名詞,1
皆_名詞,1
思考_名詞,1
倫理_名詞,1
寿命_名詞,1
両輪_名詞,1
立案_名詞,1
学力_名詞,1
度_名詞,1
道義_名詞,1
作り上げる_動詞,1
目_名詞,1
防止_名詞,1
おり_動詞,1
長期_名詞,1
受入れ_名詞,1
視野_名詞,1
ない_形容詞,1
よく_副詞,1
収支_名詞,1
ラウンド_名詞,1
正しく_副詞,1
脆弱_名詞,1
ゲート_名詞,1
一歩_名詞,1
漁村_名詞,1
一刻_名詞,1
批判_名詞,1
参加_名詞,1
撒き_動詞,1
供給_名詞,1
厳正_名詞,1
恩恵_名詞,1
廃棄_名詞,1
歳入_名詞,1
悪化_名詞,1
資する_動詞,1
あらゆる_連体詞,1
優先_名詞,1
従来_名詞,1
生み出す_動詞,1
行える_動詞,1
費_名詞,1
授業_名詞,1
最_接頭詞,1
お互い_名詞,1
表示_名詞,1
預かる_動詞,1
観光_名詞,1
女性_名詞,1
致し_動詞,1
明る_形容詞,1
視点_名詞,1
まいる_動詞,1
よく_形容詞,1
円滑_名詞,1
担う_動詞,1
休業_名詞,1
減量_名詞,1
安保理_名詞,1
激しい_形容詞,1
目線_名詞,1
乗り切り_動詞,1
サミット_名詞,1
共同_名詞,1
作る_動詞,1
魅力_名詞,1
事項_名詞,1
いただき_動詞,1
原動力_名詞,1
基盤_名詞,1
現在_名詞,1
薄れ_動詞,1
節約_名詞,1
集中_名詞,1
につきまして_助詞,1
衆議院_名詞,1
増_名詞,1
働く_動詞,1
早い_形容詞,1
連立_名詞,1
事業_名詞,1
軍_名詞,1
産婦人科_名詞,1
国交_名詞,1
点_名詞,1
商法_名詞,1
心から_副詞,1
陥っ_動詞,1
水_名詞,1
所信_名詞,1
職業_名詞,1
人_名詞,1
小児科_名詞,1
若き_動詞,1
家_名詞,1
活用_名詞,1
頑張り_名詞,1
障害_名詞,1
来年_名詞,1
配慮_名詞,1
育成_名詞,1
使命_名詞,1
到来_名詞,1
上_名詞,1
はじめ_名詞,1
医師_名詞,1
拡大_名詞,1
清算_名詞,1
いえ_動詞,1
運営_名詞,1
含む_動詞,1
部門_名詞,1
昨今_名詞,1
工夫_名詞,1
切実_名詞,1
用い_動詞,1
めぐる_動詞,1
見え_動詞,1
果たし_動詞,1
あげ_動詞,1
舵_名詞,1
先進_名詞,1
厳しく_形容詞,1
高まり_動詞,1
競争_名詞,1
沖縄_名詞,1
策_名詞,1
会合_名詞,1
難題_名詞,1
置き_動詞,1
機能_名詞,1
改める_動詞,1
農政_名詞,1
互恵_名詞,1
思い_名詞,1
共鳴_名詞,1
きちんと_副詞,1
向き合える_動詞,1
のみ_助詞,1
地方自治体_名詞,1
誠に_副詞,1
保護_名詞,1
国益_名詞,1
戒め_動詞,1
毎日_名詞,1
振興_名詞,1
評価_名詞,1
仕上げ_名詞,1
他国_名詞,1
朝鮮半島_名詞,1
不_接頭詞,1
総_接頭詞,1
合意_名詞,1
北海道_名詞,1
更_名詞,1
洞爺湖_名詞,1
条件_名詞,1
転換期_名詞,1
定め_動詞,1
精神_名詞,1
推し進め_動詞,1
輸入_名詞,1
日々_名詞,1
切り替え_動詞,1
下請_名詞,1
再開_名詞,1
粘り強く_形容詞,1
活かす_動詞,1
激動_名詞,1
抑止_名詞,1
停滞_名詞,1
つくり_動詞,1
注ぎ_動詞,1
書_名詞,1
枠組み_名詞,1
犠牲_名詞,1
教科書_名詞,1
責務_名詞,1
法令_名詞,1
徳育_名詞,1
援助_名詞,1
食料_名詞,1
取りまとめ_動詞,1
とる_動詞,1
両国_名詞,1
京都_名詞,1
喜び_名詞,1
に対し_助詞,1
延ばす_動詞,1
伴い_動詞,1
意_名詞,1
偽装_名詞,1
黒字_名詞,1
水準_名詞,1
防ぐ_動詞,1
温もり_名詞,1
活力_名詞,1
監視_名詞,1
スタート_名詞,1
課さ_動詞,1
美しい_形容詞,1
国力_名詞,1
異なる_動詞,1
ウェイ_名詞,1
妥結_名詞,1
参画_名詞,1
記録_名詞,1
ミャンマー_名詞,1
わけ_名詞,1
考え_名詞,1
抜本_名詞,1
取り組める_動詞,1
待っ_動詞,1
軽視_名詞,1
により_助詞,1
地元_名詞,1
困難_名詞,1
有機_名詞,1
少子化_名詞,1
民営_名詞,1
重視_名詞,1
入り_名詞,1
取り組ま_動詞,1
格差_名詞,1
議決_名詞,1
システム_名詞,1
移譲_名詞,1
に関する_助詞,1
職責_名詞,1
要望_名詞,1
農家_名詞,1
承継_名詞,1
担い手_名詞,1
なお_接続詞,1
受け止め_動詞,1
遺憾_名詞,1
構想_名詞,1
誠実_名詞,1
適正_名詞,1
権限_名詞,1
にわたる_助詞,1
協調_名詞,1
大事_名詞,1
正常_名詞,1
テロ_名詞,1
死者_名詞,1
見直し_動詞,1
もとより_副詞,1
交渉_名詞,1
交流_名詞,1
特措法_名詞,1
メリハリ_名詞,1
ドーハ_名詞,1
入れ_動詞,1
省_名詞,1
重ね_動詞,1
優しく_形容詞,1
分権_名詞,1
良し_形容詞,1
個性_名詞,1
共通_名詞,1
未来_名詞,1
乗り越え_動詞,1
第_接頭詞,1
真剣_名詞,1
老い_名詞,1
個人_名詞,1
職員_名詞,1
道筋_名詞,1
開催_名詞,1
応える_動詞,1
支える_動詞,1
テロリスト_名詞,1
率直_名詞,1
掌握_名詞,1
による_助詞,1
方々_名詞,1
原因_名詞,1
経費_名詞,1
金融_名詞,1
歩ん_動詞,1
認識_名詞,1
当たり_動詞,1
近づける_動詞,1
意見_名詞,1
被害_名詞,1
進める_動詞,1
早期_名詞,1
上がっ_動詞,1
農山_名詞,1
とれ_動詞,1
議定_名詞,1
点検_名詞,1
規範_名詞,1
一致_名詞,1
科学_名詞,1
